"Transaction ID","Due/Scheduled date","Date paid","Type","Amount","Currency","FX rate on transaction date","Amount (EUR)","Counterparty","Expense category","Channel/warehouse","Status","Reconciled","Supporting document","Notes","PO#/Shipment Ref"
"TXN-0064","2026-06-15","2026-06-15","vendor payment","275","USD","0.8616","236.94","SGS-CSTC Standards Technical Services Co.,Ltd.","Inspection","","paid","FALSE","1850 RMB_15.06.2026_SGS-CSTC Standards Technical Services Co.,Ltd..pdf","",""
"TXN-0065","2026-07-01","2026-07-01","vendor payment","273","USD","0.8777","239.6121","SGS-CSTC Standards Technical Services Co.,Ltd.","Inspection","","paid","FALSE","1850,00 RMB_01.07.2026_SGS-CSTC Standards Technical Services Co.,Ltd..pdf","",""
"TXN-0066","2026-07-28","2026-07-28","vendor payment","600","USD","0.8796","527.76","SGS-CSTC Standards Technical Services Co.,Ltd.","Inspection","","paid","FALSE","4050,00 RMB_28.07.2026_SGS-CSTC Standards Technical Services Co.,Ltd.pdf","",""
"TXN-0067","2026-06-01","2026-06-01","vendor payment","1590","USD","0.8586","1365.174","Eurofins Technology Service (Guangzhou) Co., Ltd.","Inspection","","paid","FALSE","1,590.00 USD_29.05.2026_Eurofins Technology Service (Guangzhou) Co., Ltd.pdf","",""
"TXN-0068","2026-06-12","2026-06-12","vendor payment","1894","USD","0.8633","1635.0901999999999","Eurofins Technology Service (Guangzhou) Co., Ltd.","Inspection","","paid","FALSE","1894.00 USD_16.06.2026_Eurofins Technology Service.pdf","",""
"TXN-0069","2026-07-15","2026-07-15","vendor payment","2634","USD","0.8744","2303.1695999999997","Eurofins Technology Service (Guangzhou) Co., Ltd.","Inspection","","paid","FALSE","2634,00 USD_08.07.2026_Eurofins Technology Service (Guangzhou) Co., Ltd..pdf","",""
"TXN-0070","2026-07-06","2026-07-06","vendor payment","2488","USD","0.8616","2143.6608","Ningbo Xianger New Material Technology Co., Ltd.","Goods","","paid","FALSE","32 640,00 USD_01.07.2026_ Ningbo Xianger New Material Technology Co., Ltd..pdf","",""
"TXN-0071","2026-07-27","2026-07-27","vendor payment","336","USD","0.8774","294.8064","Ningbo Xianger New Material Technology Co., Ltd.","Goods","","paid","FALSE","1120,00 USD_27.07.2026_Ningbo Xianger New Material Technology Co., Ltd..pdf","",""
"TXN-0072","2026-08-05","2026-08-05","vendor payment","2592","USD","0.8667","2246.4864000000002","Ningbo Xianger New Material Technology Co., Ltd.","Goods","","paid","FALSE","8640,00 USD_04.08.2026_Ningbo Xianger New Material Technology Co., Ltd.pdf","",""
"TXN-0073","2026-08-05","2026-08-05","vendor payment","14566.35","EUR","","14566.35","Deutsche Post AG","Last Mile","","paid","FALSE","14 566,35 EUR_31.07.2026_DHL Paket GmbH.pdf","",""
